bpm	plane	beam_energy_mev	tune	tune_err	closed_orbit_mm	closed_orbit_mm_err	beta_h_mm	beta_v_mm	tune_spread	tune_spread_err	tune_shift_per_turn	tune_shift_per_turn_err	closed_orbit_shift_per_turn_mm	closed_orbit_shift_per_turn_mm_err	betatron_phase_rad	betatron_phase_rad_err	beta_h_mm_err	beta_v_mm_err	beta_err	revolution_frequency_hz
R0HM1	H	71.14692757626642	0.35279143411040953	0.0012908488524418446	6.984768938780854	0.7347870484147964	-40.11907319005239	NaN	0.050751120826674496	0.003516545055729692	-0.0003243769241805918	3.392517092883611e-05	-0.08381728538455646	0.01977933666350763	-1.6854036395888712	0.05288978589277247	1.927368505192599	NaN	1.927368505192599	676692.914698867
R1HM1	H	71.14836408587303	0.3452237951618205	0.0019453470349078711	13.428755824587952	1.0407264279194322	-36.757502438696015	NaN	0.047864922049044516	0.00499888713293256	0.00010991841976200399	4.815747343281943e-05	-0.07658540067291346	0.02760565448735306	-0.6467741548301822	0.08492325187855156	2.623920759511305	NaN	2.623920759511305	676813.775073739
R3HM1	H	71.19318819442634	0.3541644214195915	0.0015543331587198912	11.959795343140001	1.2141544696676754	-48.72509395524629	NaN	0.04511307191244964	0.004121886609317601	-0.0003649323563995156	3.818641298881145e-05	-0.09822401636056703	0.032693462694949466	-1.4942942629656923	0.06837330447324702	3.0582510606776965	NaN	3.0582510606776965	676895.3753355837
R4HM2	H	71.17049049256701	0.35268719240452434	0.001600215848757165	24.386876727486495	1.2233859234510074	50.77318714373963	NaN	0.04713591233180836	0.00417164311776441	-0.00034341880722376587	3.9840986067830915e-05	-0.11805411371244082	0.03293232485260638	-1.8249497540029342	0.06981834774734332	3.069614895921466	NaN	3.069614895921466	676959.7814198756
R5HM1	H	71.17516584883822	0.34261065587865347	0.0014997589009680774	14.782995323016547	1.0702911583967576	-49.7952354948629	NaN	0.04837981376479488	0.0037926182003727073	0.0001432904155895167	3.727025579757715e-05	-0.15551403542071007	0.028818747539491506	-2.1105329065940035	0.0658031111642448	2.6330777148884894	NaN	2.6330777148884894	676634.7555721491
R7HM1	H	71.1565465719379	0.344066671302689	0.0016543015563047045	-3.9149402213112623	0.9813762586327495	42.373138807958306	NaN	0.048139811131406224	0.004036306157840209	0.00010887412541770255	4.108442379548303e-05	-0.06570758151486274	0.026433878818953097	-0.4195690607690853	0.07246723281467385	2.397782703783945	NaN	2.397782703783945	676647.1517463335
R7HM2	H	71.18874166617263	0.34394161561314734	0.0014658243597272217	-4.647387088535939	1.0711962103065789	52.83868662850465	NaN	0.04657380277325329	0.0032966542271981457	9.541795776827345e-05	3.512656958817419e-05	-0.15225932326567826	0.028840796420646523	0.14697984884761842	0.06733958131605892	2.4481406088186204	NaN	2.4481406088186204	676572.105529832
R8HM2	H	71.18189890280166	0.34285081868474665	0.0014915946772392677	33.115384610970565	0.9348710157943232	-46.23320094132624	NaN	0.04867426595108654	0.003535188958208734	0.00014270812508960452	3.698908712040023e-05	-0.12769064397861649	0.025173302630999456	-0.23292007812144433	0.06565442878148071	2.2425573505569045	NaN	2.2425573505569045	677060.8306594635
R9HM1	H	71.16710265327765	0.3436788160776506	0.0014728252673610323	5.022356721208473	1.1410215727702582	51.20628965064527	NaN	0.04584160998820895	0.003698318359694545	0.00011384825653611043	3.588154486189481e-05	-0.13855706284518346	0.030741522329613444	-0.6569824290913853	0.06560774093100127	2.8060434186073975	NaN	2.8060434186073975	676641.0110094177
R1VM2	V	70.56018698841018	0.8078271109847455	0.002303970742199157	-36.21920612460583	1.0099063494144416	NaN	-25.074742174066863	0.04047623936280239	0.005768894497341074	4.340315914908226e-05	5.257823913822468e-05	-0.038462417455388975	0.027198445915819044	1.865285233845569	0.11049371733670146	NaN	2.3846708948779303	2.3846708948779303	671768.718553831
