bpm	plane	beam_energy_mev	tune	tune_err	closed_orbit_mm	closed_orbit_mm_err	beta_h_mm	beta_v_mm	tune_spread	tune_spread_err	tune_shift_per_turn	tune_shift_per_turn_err	closed_orbit_shift_per_turn_mm	closed_orbit_shift_per_turn_mm_err	betatron_phase_rad	betatron_phase_rad_err	beta_h_mm_err	beta_v_mm_err	beta_err	revolution_frequency_hz
R0HM1	H	71.14592396271075	0.33089523316945285	0.0012064152328467562	7.173116912639234	0.6775830779663544	-37.0288580465347	NaN	0.04737484553189785	0.0031989142655901824	0.00010397319691895993	3.0240729072621582e-05	-0.09268532207240386	0.018251327812288737	-1.7198741646671374	0.051985575181608526	1.7162831033806893	NaN	1.7162831033806893	676667.1176212697
R1HM1	H	71.150749467911	0.3417796493348062	0.0030000588937860555	17.09682681028805	1.278068397664835	-37.71101677014349	NaN	0.06100330829072478	0.008372876755395194	-0.00043068106352175885	8.833268875127362e-05	-0.07053274284621411	0.03389531294766003	-0.7115834384280839	0.10861011388767043	3.6087317601679585	NaN	3.6087317601679585	676745.1479442266
R3HM1	H	71.13643949611355	0.3409234649521278	0.002697502626391827	16.902963807259066	1.693093491812172	-47.978845350544134	NaN	0.05555976308261373	0.007708187150514462	-0.00039832699919988864	7.581188483588503e-05	-0.10401384462775146	0.045572276241773624	-1.5337046642460161	0.10233080319101129	4.671247338994747	NaN	4.671247338994747	676634.1761961455
R4HM2	H	70.54850390479743	0.3312381857170778	0.0013434043796499088	23.832817183742986	1.0068459502189404	40.71917518087676	NaN	0.037428719490130144	0.003224666801820399	8.49643264955837e-05	3.0145159492600405e-05	-0.11818402411837066	0.027538422906845005	-1.7202450202202058	0.06617085642457204	2.3025783277897642	NaN	2.3025783277897642	671568.8317514906
R5HM1	H	71.15809896590594	0.3329659224077816	0.0011706451287772325	14.757061868735752	0.903875872149047	-46.682955488066874	NaN	0.04082484328466338	0.0027458887535290314	5.421323573170398e-05	2.6364779096073395e-05	-0.1468629812203913	0.02434133889265684	-2.24859190952375	0.05744744827968459	2.0552860852020904	NaN	2.0552860852020904	676532.2920663222
R7HM1	H	71.16143860653045	0.3447201153649164	0.002869678868668986	-2.0793444446712015	1.4232979487242559	43.97309540594958	NaN	0.06169759430145166	0.008117015089929031	-0.0004961995791516503	8.617863505013135e-05	-0.06541649011607954	0.03832751819486853	-0.7923340300255902	0.10158053031328411	4.0555427119445016	NaN	4.0555427119445016	676638.2284834986
R7HM2	H	71.15926872684776	0.34288127781882777	0.0029086891243176533	-3.068112278461774	1.6612799128151567	53.17338428729642	NaN	0.06000911580150649	0.007200703829714213	-0.000419640221601699	8.229323598188093e-05	-0.17054862373987548	0.0447320385436295	-0.13816191480852102	0.11134975204364418	4.267697350388095	NaN	4.267697350388095	676433.7846910895
R8HM2	H	71.18493922250406	0.34206475826028254	0.0027552614779726313	33.06799427521115	1.4745755470718684	-48.73331881754577	NaN	0.060645959272789644	0.007229491489836452	-0.0004061108044717464	7.978241481054013e-05	-0.1192264367608719	0.03971067130200601	-0.44015965263265283	0.10227938557133666	3.9751370126101273	NaN	3.9751370126101273	677136.0015880687
R9HM1	H	71.17612536942408	0.34145923220994157	0.0027382872907251226	7.654126686381423	1.6989341378936849	56.80784857187064	NaN	0.06437877634933606	0.008025049459389364	-0.0003863273598238639	8.55646420381033e-05	-0.10268628775301089	0.0457449644674948	-0.9282362719348985	0.092698055578425	4.995819331753737	NaN	4.995819331753737	676686.395936506
R3VM3	V	70.45623157275344	0.9012726038640845	0.002440052506676722	9.101687830305178	0.7563906967562058	NaN	-16.78485715965017	0.039522715034478975	0.006228871990143958	4.438258704662732e-05	5.714767573416318e-05	-0.02509858468034383	0.02089796220044459	1.456937548965776	0.11426528497223236	NaN	1.7892988047978513	1.7892988047978513	676815.9238799589
R4VM1	V	71.14981745163192	0.898440133040835	0.001528671063757624	-7.56608262021048	0.4847247790609416	NaN	-22.15305908565608	0.04655815225059216	0.003478691677647351	-7.409774092382877e-05	3.6211231332158e-05	0.19535243537437688	0.012917459067975942	0.1804319266222321	0.07086797583843091	NaN	1.103598361836081	1.103598361836081	676855.8514310198
R5VM1	V	71.12984422891827	0.8991433812397368	0.001533602188111833	-13.192547454981883	0.47706053640138396	NaN	18.656649466786654	0.04418539226355073	0.004031438844046186	-5.003971200215186e-05	3.6634761746771545e-05	-0.04710212201216772	0.012713602240581804	0.85291796348689	0.06932317692236267	NaN	1.1776070001136487	1.1776070001136487	676632.820584546
R5VM2	V	71.18069577035709	0.8964985648014232	0.00243922507183931	12.347316522935959	0.5319761477066456	NaN	14.487106580278843	0.04278562492002445	0.005221721171397356	-8.458014664674334e-05	5.466380174736203e-05	-0.17225765023261214	0.014228317729482513	-0.2381020195251334	0.12127048992359298	NaN	1.1370150811867943	1.1370150811867943	676832.7396166595
