bpm	plane	beam_energy_mev	tune	tune_err	closed_orbit_mm	closed_orbit_mm_err	beta_h_mm	beta_v_mm	tune_spread	tune_spread_err	tune_shift_per_turn	tune_shift_per_turn_err	closed_orbit_shift_per_turn_mm	closed_orbit_shift_per_turn_mm_err	betatron_phase_rad	betatron_phase_rad_err	beta_h_mm_err	beta_v_mm_err	beta_err	revolution_frequency_hz
R0HM1	H	71.12555399898463	0.31791303565770845	0.001000442921657814	3.3603074044994785	0.7396545000390231	46.57260837511085	NaN	0.045012801135395276	0.0025978178844500064	-6.538593320743763e-05	2.4218164981038753e-05	-0.10557719348041826	0.019908013366466415	1.340556385076681	0.04487067740145167	1.8264175008688746	NaN	1.8264175008688746	676552.5534666404
R3HM1	H	71.12681155454766	0.31625217794125093	0.0011633501744287777	5.611976077126884	1.191058084433457	-60.53555529633798	NaN	0.04232878399163917	0.0029961016060622583	-2.6700914293772993e-05	2.7563305219678667e-05	-0.12359093157583183	0.03207463662257975	-1.3479005782477318	0.053305170887507254	2.908873182779664	NaN	2.908873182779664	676636.8063144069
R4HM2	H	71.16012455154492	0.31723515946767705	0.0012143279639570948	15.747138235398872	1.1316370835655176	-57.26222029902356	NaN	0.04386569474608977	0.0031313594520100845	-6.175884905920778e-05	2.895015322494717e-05	-0.14986398417362387	0.030458699367476163	1.3488034029238187	0.05539364832691937	2.7663662528512107	NaN	2.7663662528512107	676877.1964905543
R5HM1	H	71.15627314462074	0.31598564268864376	0.0011384823755318744	5.609057297302156	1.0575427456005964	59.04625847743488	NaN	0.04361062573736565	0.0027642259837894418	-1.9429354919530417e-05	2.6682152892249523e-05	-0.167760269706557	0.028461879637370097	0.940836715308908	0.053326963871995696	2.4896017207595826	NaN	2.4896017207595826	676503.7407075709
R7HM1	H	71.13573108137302	0.3172024621908847	0.0013720156860317647	-6.135379304726606	1.0797147936010283	48.19741431118148	NaN	0.04176311284877269	0.0032841146336634887	-3.3612419826670216e-05	3.1680856536916956e-05	-0.09373548625652119	0.029545637237187915	-0.5884105677486147	0.0652441659614631	2.505602959165839	NaN	2.505602959165839	676769.2622418926
R7HM2	H	71.17222387590141	0.3167172681109198	0.0012766582903582344	-11.560782372315732	1.116094130875615	59.7666131395823	NaN	0.04460419761120632	0.0028782959561085893	-4.222436924965664e-05	2.998289779628968e-05	-0.2099692328201239	0.030543458387147896	0.04808411545730786	0.0599550783871542	2.5090729785089865	NaN	2.5090729785089865	676540.366970901
R8HM2	H	71.14680478692918	0.31676613771057827	0.001260447055941263	25.32567049867453	1.0093795782259405	-52.67962334855906	NaN	0.043613397734570646	0.0029211218234311345	-5.306406730433489e-05	2.9465575339435206e-05	-0.13637524312096957	0.02719522206391902	-0.3281845522501304	0.059278223924872114	2.3317203568293876	NaN	2.3317203568293876	676955.48034215
R9HM1	H	71.15896971056088	0.3175365463392655	0.001116600536125492	-1.5291178356494175	1.087971809633232	62.44101785388854	NaN	0.044907870583761916	0.002827574097143578	-5.9836360987251966e-05	2.7058068244560845e-05	-0.1852579017226987	0.029308964194638756	-0.8466783035218944	0.05002153347666045	2.6719315955115075	NaN	2.6719315955115075	676563.158644252
R0VM1	V	71.11593962223202	0.8931169206734145	0.0014859150645124056	14.467700818771219	1.241832126163971	NaN	-50.98938163923159	0.03883788156594029	0.003130249611360361	0.00020702347192227144	3.2319736762366515e-05	-0.2743853970167575	0.03323817358276932	-0.6036216374957045	0.0768367699365057	NaN	2.6331443033975312	2.6331443033975312	676842.7772530338
R3VM1	V	71.1126346767453	0.8912972444252796	0.000990355473761422	-2.5460823280868436	0.7878635802949104	NaN	39.3174570697336	0.03511338398872458	0.0024268081547343576	0.00012285884107129136	2.1074975420635514e-05	0.03120901048456131	0.020798982945857497	0.9756668271247355	0.05117186973439615	NaN	1.7871581740148088	1.7871581740148088	676563.7494954012
