bpm	plane	beam_energy_mev	tune	tune_err	closed_orbit_mm	closed_orbit_mm_err	beta_h_mm	beta_v_mm	tune_spread	tune_spread_err	tune_shift_per_turn	tune_shift_per_turn_err	closed_orbit_shift_per_turn_mm	closed_orbit_shift_per_turn_mm_err	betatron_phase_rad	betatron_phase_rad_err	beta_h_mm_err	beta_v_mm_err	beta_err	revolution_frequency_hz
R0HM1	H	71.19194609051573	0.35038304614880617	0.0015857014217579024	7.708439113747425	0.7027115355610037	-37.015773802791855	NaN	0.060588147415827194	0.004694202467889772	7.5295202355138105e-06	4.740897026487964e-05	-0.07032257451082498	0.0189198054973455	-1.5586418507874746	0.05633851089893408	2.022021599366416	NaN	2.022021599366416	676881.2776201586
R1HM1	H	71.14982587233033	0.3639248405513662	0.0019601721888867166	18.49689651838076	0.8770816617764395	-38.03403028010621	NaN	0.06029623080459706	0.005692571404233539	-0.0005385810204613543	5.7837774279658206e-05	-0.09644778480491374	0.02326199857344993	-0.8724023695221548	0.07024676311929971	2.5373775644285144	NaN	2.5373775644285144	676973.7714026665
R2HM2	H	70.7021731882358	0.3494986941031894	0.0016594042046626828	16.52930491685208	1.1825281673214914	49.10521285158244	NaN	0.04927680024214902	0.004446854351244415	9.686037611007653e-06	4.243161190062965e-05	-0.22480928954596682	0.031860078451347515	-0.8491355400261427	0.06964732289690116	3.0611182912128774	NaN	3.0611182912128774	672414.9679001246
R3HM1	H	71.20805518645773	0.34929345784335	0.001448389108117649	16.004777833261542	0.9262432590650208	-45.74106001521251	NaN	0.05262859330692276	0.0041257287894175135	2.2931994048956668e-05	3.907455145008134e-05	-0.1259804551013551	0.024948484509781904	-1.3214992220009398	0.05714967216807193	2.5112837460748225	NaN	2.5112837460748225	676909.3503915585
R4HM2	H	71.21457976800849	0.3499965208010145	0.0017505370285660288	25.81460729735121	1.0885720047677008	50.64527794021095	NaN	0.058450591937825536	0.005022558300514634	-5.824992049306409e-05	5.0861532376596623e-05	-0.1040523900211094	0.029295145083149447	-1.6839897622066675	0.06440434700485448	3.0505309427012923	NaN	3.0505309427012923	677056.6255373836
R5HM1	H	71.19446500621444	0.3494115672761639	0.0013805261992272634	15.82977522072888	0.8117185925678372	-49.585499186562856	NaN	0.05766320772424386	0.0036526783837164466	2.4252870577529185e-05	3.864581927218276e-05	-0.12435293719108073	0.021847020311089742	-2.127668385593457	0.053475769078345316	2.142691708970029	NaN	2.142691708970029	676768.8059909255
R7HM1	H	71.18817114169116	0.352418418680168	0.0016819561093629727	-1.372120916784397	0.8423327309448259	41.35250252203742	NaN	0.05628514761896322	0.004427244558457759	-1.641305401466354e-05	4.6588916582020666e-05	-0.08937846914347099	0.02268601924943399	-0.5528020282977388	0.0651846689797225	2.2442361161155886	NaN	2.2442361161155886	676746.631159587
R8HM2	H	71.19713861534734	0.350562244855596	0.0014584898670902482	33.964903319623964	0.7665500677329288	-44.27742835963882	NaN	0.05563536217002936	0.0036346191733999723	-8.274633696449514e-06	3.946092490656891e-05	-0.12823140889075577	0.020644158535640108	-0.2938229216186655	0.05832483196149163	1.9572904173486894	NaN	1.9572904173486894	677154.2957823434
R9HM1	H	71.1989650427152	0.3510998838423116	0.0013833910299004854	8.34091754694963	0.9090078770546757	51.552578803660154	NaN	0.05490961281082329	0.003741114466245954	-1.5399969475979363e-05	3.7824203719134656e-05	-0.12186426715946072	0.024486547892761376	-0.6988146682914199	0.05414394983193496	2.4372102053780123	NaN	2.4372102053780123	676765.2136793649
R2VM2	V	70.57462294954348	0.8234772452620391	0.003063376605435571	-5.3512736543975885	1.2621397206729643	NaN	28.59660754210297	0.05034121092552811	0.00833984655845869	0.00046218923469447685	8.005069484371983e-05	-0.0605828893751937	0.03392061370582141	1.7183751804636545	0.12605717375642583	NaN	3.2897216656403523	3.2897216656403523	671810.9274590083
R3VM1	V	71.19492374144949	0.8205107653912008	0.001784183979114707	9.203324870675937	0.4885500446639106	NaN	18.328465548385424	0.04590969336842862	0.00435036315998015	0.00032783188427397566	4.266269574483365e-05	-0.06280440785135065	0.012916567351897928	0.5534432081904632	0.08140512621565336	NaN	1.168160849935397	1.168160849935397	676881.2526928888
