magnet	S_start	S_end	S_centre	angle	offset_start	offset_end	offset_centre
Dipole 0	0.000000000000	5.180000000000	2.590000000000	-0.034362934349	0.297000000000	0.119000000000	0.208000000000
QD 0	8.211500000000	8.950500000000	8.581000000000	0.320703642591	0.062000000000	0.299000000000	0.180500000000
QF 0	9.665000000000	10.387000000000	10.026000000000	-0.545706317022	0.242000000000	-0.152000000000	0.045000000000
QC 0	16.224500000000	16.607500000000	16.416000000000	-0.396866819895	0.101000000000	-0.051000000000	0.025000000000
Dipole 1	16.336282000000	21.516282000000	18.926282000000	-0.056756756696	-0.308000000000	-0.602000000000	-0.455000000000
QD 1	24.547782000000	25.286782000000	24.917282000000	0.002706359946	0.091000000000	0.093000000000	0.092000000000
QF 1	26.001282000000	26.723282000000	26.362282000000	-0.069252077451	0.216000000000	0.166000000000	0.191000000000
Dipole 2	32.672564000000	37.852564000000	35.262564000000	0.077220077067	-0.488000000000	-0.088000000000	-0.288000000000
QD 2	40.884064000000	41.623064000000	41.253564000000	-0.058186738771	0.674000000000	0.631000000000	0.652500000000
QF 2	42.337564000000	43.059564000000	42.698564000000	-0.008310249307	0.598000000000	0.592000000000	0.595000000000
QC 2	48.897064000000	49.280064000000	49.088564000000	-0.892950154310	0.310000000000	-0.032000000000	0.139000000000
Dipole 3	49.008846000000	54.188846000000	51.598846000000	0.085521235313	0.156000000000	0.599000000000	0.377500000000
QD 3	57.220346000000	57.959346000000	57.589846000000	0.952638412768	0.143000000000	0.847000000000	0.495000000000
QF 3	58.673846000000	59.395846000000	59.034846000000	-0.238227142308	0.535000000000	0.363000000000	0.449000000000
QC 3	65.233346000000	65.616346000000	65.424846000000	-0.681462035504	0.302000000000	0.041000000000	0.171500000000
Dipole 4	65.345128000000	70.525128000000	67.935128000000	0.034749034735	-0.917000000000	-0.737000000000	-0.827000000000
QD 4	73.556628000000	74.295628000000	73.926128000000	0.552097372863	-0.033000000000	0.375000000000	0.171000000000
QF 4	75.010128000000	75.732128000000	75.371128000000	-0.217451520118	0.355000000000	0.198000000000	0.276500000000
QC 4	81.569628000000	81.952628000000	81.761128000000	-0.248041770370	0.430000000000	0.335000000000	0.382500000000
Dipole 5	81.681410000000	86.861410000000	84.271410000000	0.062162162082	0.419000000000	0.741000000000	0.580000000000
QD 5	89.892910000000	90.631910000000	90.262410000000	0.675236703872	0.511000000000	1.010000000000	0.760500000000
QF 5	91.346410000000	92.068410000000	91.707410000000	-0.020775623266	0.830000000000	0.815000000000	0.822500000000
QC 5	97.905910000000	98.288910000000	98.097410000000	-0.723237471809	0.805000000000	0.528000000000	0.666500000000
Dipole 6	98.017692000000	103.197692000000	100.607692000000	0.044208494180	0.255000000000	0.484000000000	0.369500000000
QD 6	106.229192000000	106.968192000000	106.598692000000	0.411366688568	0.351000000000	0.655000000000	0.503000000000
QF 6	107.682692000000	108.404692000000	108.043692000000	-0.549861440428	0.949000000000	0.552000000000	0.750500000000
QC 6	114.242192000000	114.625192000000	114.433692000000	0.125326370101	0.398000000000	0.446000000000	0.422000000000
Dipole 7	114.353974000000	119.533974000000	116.943974000000	0.039382239362	-0.489000000000	-0.285000000000	-0.387000000000
QD 7	122.565474000000	123.304474000000	122.934974000000	0.534506038408	0.298000000000	0.693000000000	0.495500000000
QF 7	124.018974000000	124.740974000000	124.379974000000	-0.091412742128	0.674000000000	0.608000000000	0.641000000000
QC 7	130.578474000000	130.961474000000	130.769974000000	-0.422976476081	0.427000000000	0.265000000000	0.346000000000
Dipole 8	130.690256000000	135.870256000000	133.280256000000	-0.012934362934	0.500000000000	0.433000000000	0.466500000000
QD 8	138.901756000000	139.640756000000	139.271256000000	0.736129772311	0.251000000000	0.795000000000	0.523000000000
QF 8	140.355256000000	141.077256000000	140.716256000000	-0.051246537351	0.679000000000	0.642000000000	0.660500000000
QC 8	146.914756000000	147.297756000000	147.106256000000	-0.214099213439	0.571000000000	0.489000000000	0.530000000000
Dipole 9	147.026538000000	152.206538000000	149.616538000000	-0.018532818531	-0.418000000000	-0.514000000000	-0.466000000000
QD 9	155.238038000000	155.977038000000	155.607538000000	0.554803731980	0.174000000000	0.584000000000	0.379000000000
QF 9	156.691538000000	157.413538000000	157.052538000000	-0.189750690243	0.252000000000	0.115000000000	0.183500000000
QC 9	163.251038000000	163.634038000000	163.442538000000	0.164490860135	0.540000000000	0.603000000000	0.571500000000
